e1	Instructional exercise illustration, side view. The exercise is a DOUBLE-LEG LONG-LEVER HAMSTRING BRIDGE. The person lies face up on the floor, head shoulders and both arms flat on the floor. The hips are lifted high so shoulder, hip and knee form one straight diagonal line. Both knees are bent about 45 degrees, so the feet sit well away from the buttocks. Only the HEELS rest on the floor and the toes are clearly pulled up toward the shins, pointing at the ceiling. Not a glute bridge: feet must not be flat, knees must not be at 90 degrees. Both legs are the working legs.
e2	Instructional exercise illustration, side view. The exercise is a SINGLE-LEG LONG-LEVER HAMSTRING BRIDGE. The person lies face up on the floor, head shoulders and both arms flat on the floor, hips lifted high so shoulder, hip and knee form one straight diagonal line. The supporting leg is nearly straight with only the HEEL on the floor and the toes pulled up toward the shin. The OTHER leg is lifted clearly off the floor with the hip and knee flexed, knee drawn toward the chest. The supporting leg on the floor is the working leg.
e3	Instructional exercise illustration, side view. The exercise is a WEIGHTED HAMSTRING BRIDGE. The person lies face up on the floor with head, shoulders and arms on the floor and the hips lifted high in a straight line from shoulder to knee. Both knees bent about 45 degrees with only the heels on the floor and toes pulled up. A single round weight plate rests flat across the front of the hips, held there by both hands. Both legs are the working legs.
e4	Instructional exercise illustration, side view. The exercise is a PRONE LYING LEG CURL with an ankle weight. The person lies face DOWN on an exercise mat, belly and hips pressed flat to the mat, forehead resting on the folded forearms. One knee is bent to exactly 90 degrees so that the shin points straight up at the ceiling, with a padded ankle weight strapped around that ankle. The other leg stays straight and flat on the mat. The bent leg is the working leg.
e5	Instructional exercise illustration, side view. The exercise is a SINGLE-LEG STANDING CALF RAISE ON A STEP. The person stands on one foot on the edge of a low step or plate, only the ball of the foot on the step and the heel hanging off the back edge, raised high so the person is on tiptoe. The other leg is lifted behind with the knee bent. One hand rests lightly on a vertical support rail for balance. The standing leg is the working leg.
e6	Instructional exercise illustration, side view. The exercise is a BARBELL HIP THRUST. The person sits on the floor with the upper back and shoulder blades resting against the long edge of a flat bench, feet flat on the floor, knees bent to 90 degrees with the shins vertical. The hips are driven up so that shoulder, hip and knee form one straight horizontal line. A barbell rests across the front of the hips, held by both hands. Both legs are the working legs.
e7	Instructional exercise illustration, FRONT view facing the viewer. The exercise is a STANDING HIP ABDUCTION WITH A RESISTANCE BAND. The person stands upright and tall on one leg with the pelvis level and the trunk straight, not leaning. A loop resistance band is around both ankles. The other leg is lifted straight out to the side, away from the body, stretching the band. The lifted abducting leg is the working leg.
e8	Instructional exercise illustration, side view. The exercise is a ROMANIAN DEADLIFT at the bottom position. The person stands with feet hip width, knees only softly bent, and hinges forward at the HIPS with the back completely flat and neutral and the hips pushed back. The torso is at about 45 degrees to the floor. A barbell is held in both straight arms hanging down, close to the shins. Both legs are the working legs.
e9	Instructional exercise illustration, side view. The exercise is a FORWARD LUNGE at the bottom position. The front foot is flat on the floor with the front knee bent to 90 degrees and the front thigh parallel to the floor. The rear knee is bent and hovers low just above the floor, with the rear heel lifted and only the toes touching. The torso is upright and vertical, arms relaxed at the sides. The FRONT leg is the working leg.
e10	Instructional exercise illustration, side view. The exercise is a BULGARIAN SPLIT SQUAT at the bottom position. The rear foot is resting on top of a low flat bench behind the person, instep down. The front foot is flat on the floor with the front knee bent to 90 degrees and the front thigh parallel to the floor. The rear knee hangs low toward the floor. The torso is upright and vertical. The FRONT leg on the floor is the working leg.
d1	Instructional posture illustration, side view. A person SITTING CORRECTLY on a firm upright chair. The seat is high enough that the HIPS ARE CLEARLY HIGHER THAN THE KNEES, so the thighs slope gently downward from hip to knee. A flat ochre gold seat cushion lies on the chair seat under the person. The back is supported against the backrest and leaning back slightly. Both feet flat on the floor. No highlighted leg: the whole body is petrol blue outline.
d2	Instructional posture illustration, side view. A person SITTING BADLY, sunk deep into a low soft sofa. The seat is so low and soft that the HIPS ARE CLEARLY LOWER THAN THE KNEES, with both knees riding up higher than the hips and the pelvis tipped back in a slump. The back is rounded. No highlighted leg: the whole body is petrol blue outline.
d3	Instructional posture illustration, side view. A person doing a STANDING FORWARD BEND HAMSTRING STRETCH, also called a standing toe touch. Both legs are completely straight with the knees locked, feet together on the floor. The person bends forward at the hips with the arms hanging down and the hands reaching toward the toes. The back of the upper thigh of the near leg is filled solid ochre gold to show the stretched hamstring.
